text,label
I had a relaxing day at the beach today. The sound of the waves and the warm sun helped me unwind and forget about any worries.,Low Stress
"I enjoy cooking healthy meals from scratch. The process of chopping vegetables, experimenting with flavors, and savoring the delicious outcome brings me joy and calmness.",Low Stress
Watching a funny movie or comedy show never fails to make me laugh and release any tension. Laughter truly is the best medicine for stress.,Low Stress
Reading a good book is my favorite way to relax. Getting lost in a captivating story helps me escape from daily stressors and rejuvenate.,Low Stress
"I love taking nature walks. The fresh air, greenery, and chirping birds create a serene environment that instantly puts my mind at ease.",Low Stress
"I feel pressure from my family and peers to excel in my studies and succeed in my future career. This pressure makes me feel stressed, anxious, and like I'm not living up to expectations.",High Stress
"I struggle to make friends, feel disconnected from my peers, or experience social isolation. This makes me feel lonely, anxious, and depressed.",Moderate Stress
"I miss my family and friends from home and feel homesick. This makes me feel stressed, anxious, and like I don't belong or feel connected to my new environment.",High Stress
"I'm unsure about what I want to do with my future career or worry about finding a job after graduation. This uncertainty makes me feel stressed, anxious, and unmotivated to pursue my academic and personal goals.",Moderate Stress
"I struggle to get enough sleep due to late-night studying, socializing, or other factors. Lack of sleep makes me feel stressed, anxious, and unable to fully focus on my academic and personal goals.",Low Stress
"I experience physical or mental health issues, such as depression, anxiety, eating disorders, or chronic illness. These health concerns make me feel stressed, anxious, and unable to fully focus on my academic and personal goals.",High Stress
"I feel pressure to look a certain way, dress a certain way, or maintain a certain image on social media. This pressure makes me feel stressed, anxious, and like I'm not good enough or not living up to expectations.",Moderate Stress
"I'm taking too many courses in a short amount of time, which makes me feel overwhelmed, stressed, and anxious. I worry that I won't be able to keep up with the workload and meet all the deadlines.",Moderate Stress
Feeling overwhelmed by group projects and relying on unreliable group members,Moderate Stress
Struggling to find a sense of community or support system on campus,High Stress
Worrying about disappointing my parents or not meeting their expectations,Moderate Stress
Feeling like I'm not passionate about my major or future career,High Stress
"Experiencing discrimination or prejudice based on my race, gender, sexuality, or other identities",Moderate Stress
Feeling like I'm not making progress or achieving my goals fast enough,Low Stress
Struggling to make ends meet and afford basic necessities like food and housing,High Stress
Dealing with a difficult or unsupportive professor,Moderate Stress
Feeling like I don't have anyone to talk to or confide in about my problems,Moderate Stress
Pressure to maintain a high GPA and academic standing,Moderate Stress
Feeling like I'm not getting enough support or resources from my college or university,High Stress
Experiencing burnout from constantly striving for perfection,Moderate Stress
Struggling with addiction or substance abuse,High Stress
Feeling like I'm not able to pursue my hobbies or passions due to time constraints,Moderate Stress
Feeling like I'm not able to express my true self or be authentic around others,Low Stress
Worrying about not being able to find a job in my field after graduation,High Stress
Experiencing imposter syndrome and feeling like I don't belong in college,Moderate Stress
Struggling to manage personal relationships while balancing academic responsibilities,Moderate Stress
Feeling like I'm not living up to my own expectations or potential,Moderate Stress
Dealing with a difficult roommate or living situation,High Stress
Feeling like I'm not getting enough guidance or mentorship in my academic or professional pursuits,Moderate Stress
Experiencing anxiety or stress related to public speaking or presentations,High Stress
Worrying about not being able to afford study abroad or other travel opportunities,Moderate Stress
Struggling to find a sense of purpose or direction in life.,Low Stress
" I have so much academic work to do and not enough time to do it. I have to study for exams, write papers, do assignments, and attend classes. Sometimes I feel like I can't keep up with everything and I get overwhelmed.",High Stress
" I'm afraid of failing or not doing well enough in my courses. I have high expectations for myself and I want to get good grades. I worry about disappointing myself, my parents, or my professors. Sometimes I feel like I'm not smart enough or capable enough to succeed in college.",Moderate Stress
" I don't have enough money to pay for college and other expenses. I have to work part-time or take out loans to afford tuition, books, rent, food, and other bills. I worry about getting into debt or not having enough money for emergencies. Sometimes I feel like I can't enjoy college life because of my financial situation.",Moderate Stress
Listening to my favorite music is my go-to stress buster. The melodies and lyrics transport me to a positive and relaxed state of mind.,Moderate Stress
 I face a lot of pressure from my family and peers to succeed in college and beyond. They have high hopes for me and they want me to pursue a certain career path or achieve a certain status. I worry about meeting their expectations or letting them down. Sometimes I feel like I can't follow my own interests or passions because of their influence.,High Stress
" I have trouble making friends or fitting in socially in college. I don't know many people here and I feel lonely or isolated. I have difficulty finding people who share my values, interests, or hobbies. Sometimes I feel like I don't belong here or that no one likes me.",Moderate Stress
" I miss my family and friends from home. I don't get to see them often and I feel disconnected from them. I miss their support, comfort, and familiarity. Sometimes I feel like they don't understand what I'm going through or that they have moved on without me.",High Stress
 I don't know what I want to do after college or what career path to choose. There are so many options and possibilities and I don't know which one is right for me. I worry about making the wrong decision or regretting it later. Sometimes I feel like I don't have a clear direction or purpose in life.,Moderate Stress
" I don't get enough sleep or have poor sleep quality. I have to stay up late to finish my work or study for exams. Or I have trouble falling asleep or staying asleep because of stress, noise, or other distractions. Sometimes I feel tired, groggy, or irritable during the day.",Low Stress
" I have health concerns, both physical and mental. I may have chronic conditions, injuries, illnesses, or infections that affect my well-being. Or I may have anxiety, depression, low self-esteem, or other emotional issues that affect my mood and motivation. Sometimes I feel sick, weak, or unhappy and I don't take good care of myself.",High Stress
" I have pressure to maintain a certain image or appearance. I may have to conform to certain standards of beauty, fitness, fashion, or style that are imposed by society, media, or peers. Or I may have to hide or change aspects of my identity, such as my gender, sexuality, ethnicity, or religion that are not accepted by others. Sometimes I feel insecure, ashamed, or judged by how I look or who I am.",Moderate Stress
"I am faced with an immense academic workload and pressure to learn new and challenging concepts, conduct research, and actively participate in class discussions. However, at times, I feel overwhelmed and fall behind, struggling to grasp the material.",Moderate Stress
"The fear of failure and performance anxiety plagues me as I have to undergo tests, presentations, and submit projects. This pressure sometimes causes me to feel nervous, anxious, or panicked, and I worry about not performing up to expectations.",Moderate Stress
"Financial instability and the concern of paying for tuition and other expenses have been a constant worry for me. Managing finances and hunting for scholarships, grants, and financial aid can be stressful and frustrating, especially with the rising cost of education.",High Stress
"I face immense pressure from family and peers to succeed, with them holding certain standards and comparing me to others. This pressure can cause feelings of stress, guilt, or even a sense of failure if I cannot live up to their expectations.",Moderate Stress
"Social isolation and difficulty making friends have made me feel lonely, bored, or even depressed. The lack of social opportunities or activities on campus or in my area has left me longing for a better social life.",High Stress
"Homesickness or feeling disconnected from family and friends have weighed heavily on me. Being unable to talk to them as often or visit them as much as I would like has made me nostalgic, sad, or even homesick.",Moderate Stress
Taking a leisurely stroll in the park always brings a sense of tranquility. The sights of blooming flowers and the gentle breeze create a soothing atmosphere.,Low Stress
"Uncertainty about future career prospects has caused me to feel lost, confused, and scared about making the right choices and finding a good job that suits my interests and skills.",High Stress
"Due to a lack of sleep or poor sleep quality, I have been left feeling exhausted, sluggish, or unfocused during the day. Sacrificing sleep for studying, working, or socializing has taken its toll, and at times, insomnia, nightmares, or sleep disorders can further disrupt my sleep quality.",Moderate Stress
"Physical and mental health issues, including allergies, infections, injuries, chronic diseases, stress, anxiety, depression, low self-esteem, eating disorders, substance abuse, or other mental health issues, have affected my overall well-being. Sometimes, these issues can make me feel unwell, unhappy, or hopeless, and I may fail to seek help or treatment.",Moderate Stress
"The pressure to maintain a certain image or appearance has led to issues related to body image, eating disorders, cosmetic surgery addiction, and more. Discrimination, harassment, bullying, or violence based on my gender, sexuality, race, ethnicity, religion, disability, or other aspects of my identity, can make me feel insecure, ashamed, or afraid, hindering my ability to express myself freely.",Moderate Stress
"I have to deal with excessive assignments, poor time management and social skills, and peer competition. These are some of the common stressors reported in an academic setting¹. Sometimes I feel like I can't cope with the demands and expectations of my professors and classmates.",High Stress
"I have financial factors that affect my education. I have to pay for tuition, books, rent, food, and other expenses. Sometimes I have to work part-time or look for scholarships, grants, or financial aid. I worry about getting into debt or not having enough money for emergencies².",Moderate Stress
"I have academic factors that affect my performance. I have to study for exams, give presentations, and submit projects. Sometimes I feel nervous, anxious, or panicked before or during these tasks. I worry about making mistakes or not doing well enough².",High Stress
"I have depression, anxiety, behavioural problems, irritability, etc. These are some of the many problems reported in students with high academic stress¹. Sometimes I feel sad, hopeless, or angry and I don't seek help or treatment.",Moderate Stress
"I have to face discrimination, harassment, bullying, or violence based on my gender, sexuality, race, ethnicity, religion, disability, or other aspects of my identity. Sometimes I feel insecure, ashamed, or afraid and I don't accept myself or express myself freely³.",Low Stress
"I indulge in various risky behaviours such as increased consumption of alcohol and drugs, unprotected sexual activities, physical inactivity, poor eating and sleeping patterns. These are some of the ways that students cope with stress but they also have negative consequences on their health and well-being³.",High Stress
"I have uncertainty about future career prospects. I don't know what kind of job I want or what skills I need. Sometimes I feel confused, lost, or scared about the future and I wonder if I'm making the right choices or if I'll find a good job⁴.",Moderate Stress
"I have homesickness or feeling disconnected from family and friends. I don't get to talk to them as much as I used to or visit them often. Sometimes I feel sad, nostalgic, or homesick and I miss their presence and comfort⁴.",Moderate Stress
Engaging in a hobby such as painting or gardening allows me to channel my creativity and unwind. It's a therapeutic way to spend my free time.,Moderate Stress
"I have pressure to succeed from family and peers. They have certain standards or goals for me and they compare me to others. Sometimes I feel pressured, stressed, or guilty about not living up to their expectations or not making them proud².",High Stress
"I have lack of sleep or poor sleep quality. I have to sacrifice sleep for studying, working, or socializing. Or I have insomnia, nightmares, or sleep disorders that affect my sleep quality. Sometimes I feel exhausted, sluggish, or unfocused during the day³.",Moderate Stress
Managing the workload and assignments of multiple subjects can be overwhelming for me.,High Stress
The pressure to perform well and maintain a high GPA feels immense and daunting.,Moderate Stress
"Sometimes, it feels like I'm drowning in deadlines and exam preparations.",Low Stress
Balancing academics with other aspects of life is a constant struggle for me.,High Stress
The expectations from parents and family add to my stress levels and make me feel burdened.,Moderate Stress
The competition among students can be cutthroat and can take a toll on my mental health.,Moderate Stress
"I constantly fear failure and disappointment, which only adds to my anxiety.",Moderate Stress
"Time management is crucial, but I often find it challenging to balance my time effectively.",High Stress
"Group projects can be a nightmare if not coordinated properly, causing me additional stress and anxiety.",Moderate Stress
"I often fear missing out on social events due to my academic commitments, which can leave me feeling left out.",High Stress
The anxiety and stress caused by academic pressure can have adverse effects on my mental health.,Moderate Stress
"Teachers may not always be understanding or accommodating of my struggles, making it difficult to ask for help.",Low Stress
A lack of proper resources or infrastructure can make studying more difficult for me.,High Stress
"The need to constantly stay updated with the latest developments in my field adds to my workload, making it overwhelming at times.",Moderate Stress
Lack of sleep and fatigue are common problems that I face due to the academic workload.,Moderate Stress
"Sometimes, it feels like I'm just memorizing information instead of truly learning and retaining it.",Moderate Stress
The pressure to secure a good job after graduation can be overwhelming and adds to my stress levels.,High Stress
"It's difficult to stay motivated and focused during long study sessions, which can leave me feeling burnt out.",Moderate Stress
"The pressure to participate in extracurricular activities can add to my workload, making it difficult to balance my time effectively.",High Stress
"Sometimes, it feels like I'm just going through the motions instead of truly enjoying the learning process.",Moderate Stress
"After a long week at work, I decided to treat myself to a spa day. The soothing music, gentle massage, and calming ambiance melted away all my stress.",Low Stress
"The cost of education is high, and financial constraints can add to my stress levels and make me feel burdened.",High Stress
"The workload can be especially tough during exam season, causing me additional stress and anxiety.",Moderate Stress
"It's challenging to maintain a social life while also focusing on academics, which can leave me feeling isolated at times.",Moderate Stress
Managing internships and other professional commitments alongside my academic workload can be difficult to handle.,Moderate Stress
The constant need to multitask can be mentally exhausting and leaves me feeling drained.,High Stress
"The pressure to secure good grades can often lead to cheating or plagiarism, which can negatively impact my academic performance and integrity.",Moderate Stress
"Sometimes, it feels like I'm just trying to survive college instead of truly thriving and enjoying my college experience.",High Stress
The need to constantly stay up-to-date with the latest academic research can be a daunting task and can make me feel overwhelmed.,Moderate Stress
"Group discussions can be nerve-wracking, especially for introverted students like me.",Low Stress
The pressure to pursue higher education after graduation can be overwhelming and leaves me feeling anxious about my future prospects.,High Stress
"The constant need to prove myself can be stressful and tiring, causing me to feel burnt out and demotivated at times.",Moderate Stress
"The workload can often lead to physical exhaustion and burnout, making it challenging to stay motivated and focused.",High Stress
The fear of missing out on other life experiences can make academic commitments feel like a burden at times.,Moderate Stress
The pressure to maintain a certain image among peers can be mentally taxing and can negatively impact my self-esteem.,High Stress
Lack of proper guidance or mentorship can make navigating the academic workload even more difficult for me.,Moderate Stress
"The pressure to excel in all subjects can be unrealistic and unachievable, causing me to feel overwhelmed and like a failure when I fall short.",Low Stress
"It's challenging to balance the academic workload with personal hobbies and interests, leading to a lack of fulfillment in other areas of life.",High Stress
The constant need to compare myself to others can be mentally draining and lead to self-doubt.,Moderate Stress
The pressure to conform to societal expectations and pursue a certain career path can be overwhelming and leave me feeling trapped.,Moderate Stress
The difficulty in finding a work-life balance can make it challenging to maintain relationships and personal well-being.,Moderate Stress
"The stress of academic pressure can manifest physically, leading to headaches, stomach aches, and other health issues.",High Stress
The pressure to constantly perform at a high level can lead to feelings of imposter syndrome and self-doubt.,Moderate Stress
The lack of autonomy and control over my academic workload can be frustrating and cause me to feel overwhelmed.,High Stress
The constant need to network and build professional connections can be time-consuming and stressful.,Moderate Stress
The pressure to meet the expectations of professors and employers can cause me to compromise my own values and beliefs.,Low Stress
The lack of diversity and representation in academic fields can make me feel like an outsider and negatively impact my sense of belonging.,High Stress
The need to constantly juggle multiple responsibilities can lead to a lack of focus and decreased productivity.,Moderate Stress
The pressure to conform to a specific academic culture or community can be isolating and lead to a lack of diversity of thought.,Moderate Stress
The constant need to stay on top of assignments and deadlines can lead to a lack of creativity and exploration in my academic pursuits.,Moderate Stress
The pressure to constantly outperform my peers can create a toxic competitive environment and negatively impact my mental health.,High Stress
The lack of recognition or acknowledgement for my hard work can be demotivating and lead to feelings of unappreciation.,Moderate Stress
The pressure to maintain a certain GPA can lead to a focus on grades over actual learning and understanding of material.,High Stress
I am constantly worried about how to pay for my tuition and other expenses.,Moderate Stress
It's tough to focus on studies when I am always preoccupied with financial instability.,Low Stress
"I have to work part-time to pay for my education, but it's still not enough.",High Stress
The rising cost of education is making it increasingly difficult for me to afford.,Moderate Stress
I wish there were more scholarships and financial aid options available to students like me.,High Stress
I have to be very mindful of my expenses and budget every penny to make ends meet.,Moderate Stress
It's frustrating to see some students with more financial stability not appreciate their privilege.,High Stress
I feel guilty for burdening my family with the cost of my education.,Moderate Stress
I often have to choose between buying textbooks and paying for other necessities.,Low Stress
The fear of debt is always looming over my head.,High Stress
Sometimes I have to sacrifice my own wants and needs for the sake of my education.,Moderate Stress
"The pandemic has worsened my financial situation, making it even harder to pay for college.",Moderate Stress
I have to constantly seek out part-time jobs and other sources of income to pay for tuition.,Moderate Stress
I feel like I'm constantly in survival mode when it comes to finances.,High Stress
It's disheartening to see the cost of education becoming a barrier to accessing higher education.,Moderate Stress
Sometimes I have to rely on the generosity of others to get by.,High Stress
The stress of financial instability is affecting my mental health and well-being.,Moderate Stress
I worry about how I will be able to afford further education or pursue my career after college.,Low Stress
It's frustrating to see the unequal distribution of resources and opportunities in higher education.,High Stress
"I feel like I'm constantly juggling multiple responsibilities, including paying for college.",Moderate Stress
I feel like I'm missing out on a lot of college experiences because of financial instability.,Moderate Stress
It's hard to plan for the future when I'm not even sure how I'll pay for my current expenses.,Moderate Stress
The lack of financial support from the government makes it even harder to afford college.,High Stress
Sometimes I feel like giving up on pursuing higher education because of the financial burden.,Moderate Stress
I have to constantly make sacrifices in order to pay for tuition and other expenses.,High Stress
The constant financial stress is affecting my academic performance.,Moderate Stress
I worry about the long-term financial impact of taking out loans to pay for college.,Low Stress
It's frustrating to see the cost of college increasing while the job market remains competitive.,High Stress
I often have to choose between paying for college or supporting my family.,Moderate Stress
I feel like I'm constantly behind on payments and bills because of college expenses.,High Stress
The lack of financial education in schools makes it hard to navigate the complex world of college finances.,Moderate Stress
It's hard to see the value in paying so much for college when the job market remains uncertain.,High Stress
I wish there were more resources available to help students like me navigate financial instability.,Moderate Stress
The high cost of living in cities with top universities makes it even harder to afford college.,Low Stress
Sometimes I have to make tough choices between taking out more loans or taking a semester off.,High Stress
It's frustrating to see other students living comfortably while I struggle to make ends meet.,Moderate Stress
I worry about how I will pay for medical emergencies or other unexpected expenses while in college.,Moderate Stress
I feel like I'm constantly searching for ways to cut costs and save money.,Moderate Stress
It's hard to prioritize my education when my financial situation is so precarious.,High Stress
I worry about being able to afford basic necessities like food and housing while in college.,Moderate Stress
The lack of affordable housing options near universities adds to the financial burden of college.,High Stress
I feel like I'm constantly in a cycle of debt and worry when it comes to college finances.,Moderate Stress
I feel like my financial instability is holding me back from reaching my full potential.,Low Stress
The pressure to succeed academically is even greater when you're struggling to pay for college.,High Stress
I wish there were more options for low-income students to pursue higher education without the financial burden.,Moderate Stress
The constant struggle to pay for college makes me appreciate the value of a good education even more.,Moderate Stress
I worry about the long-term financial impact of not being able to pay off my student loans.,Moderate Stress
The lack of financial stability can also affect my social life and relationships with others.,High Stress
I often have to rely on cheap and unhealthy food options because of limited finances.,Moderate Stress
The cost of extracurricular activities and internships can also add to the financial burden of college.,High Stress
It's hard to stay motivated and optimistic about the future when finances are constantly a worry.,Moderate Stress
I wish the system was more supportive of students who are facing financial instability.,Low Stress
The rising cost of education is not only affecting me but also my entire family's financial situation.,High Stress
I feel like I'm missing out on opportunities because I can't afford to take risks or explore different paths.,Moderate Stress
The struggle to pay for college can also make it difficult to maintain a work-life balance.,High Stress
I worry about the pressure to start earning money immediately after college to pay off debts.,Moderate Stress
"The lack of financial stability can also affect my physical health, as I can't always afford proper medical care.",High Stress
I often have to rely on public transportation or walk long distances to save money on transportation.,Moderate Stress
It's hard to maintain a positive outlook on the future when the cost of education keeps increasing.,Low Stress
I feel like my financial instability is holding me back from fully immersing myself in college experiences.,High Stress
"The high cost of education can also create a cycle of poverty, where low-income families struggle to break out.",Moderate Stress
I worry about not being able to provide for my future family because of the burden of student loans.,Moderate Stress
The constant worry about finances can also make it hard to enjoy the present moment.,Moderate Stress
I wish there was more awareness and support for students facing financial instability in college.,High Stress
"I feel like there's an enormous amount of pressure on me to excel academically and secure a high-paying job to make my family proud. It's not just my family that expects this from me, but also my peers. They're constantly comparing me to other students, which only adds to the pressure to succeed. It's tough to make friends when everyone seems to be solely focused on their academics and career prospects. I feel socially isolated and lonely, especially since I'm living away from my family and friends.",Moderate Stress
"I constantly find myself questioning if I'm doing enough to meet the expectations of my family and peers. The pressure to succeed can be suffocating at times, and I feel like there's no room for failure. It's tough to balance the demands of academics and social life, especially when pressured to excel in both. The fear of disappointing my family and peers is always in the back of my mind, adding to the stress.",High Stress
"The pressure to excel in academics can lead to burnout, which can affect my mental and physical health. It's tough to find a balance between academic success and personal growth when the pressure to succeed is so high. I feel like I'm constantly in competition with others, which makes it hard to form genuine friendships. The pressure to succeed can lead to a fear of failure, making it hard to take risks and try new things.",Moderate Stress
"The isolation and pressure to succeed can lead to feelings of depression and anxiety, and it's tough to maintain relationships when everyone is so focused on their own success and goals. The fear of disappointing my parents can be overwhelming and lead to a lack of self-confidence. It's hard to enjoy the college experience and explore other interests when the pressure to succeed is so high.",Low Stress
"Dealing with the pressure to succeed and social isolation without a support system is tough. The expectations of my family and peers often lead to feelings of inadequacy and self-doubt. It's difficult to balance the pressure to succeed with taking care of my mental and physical health. The isolation and pressure to succeed can lead to a sense of detachment from the college community, making it hard to form meaningful connections.",High Stress
The pressure to succeed can lead to a lack of authenticity and a desire to present a perfect image. It's tough to deal with the pressure to succeed while also navigating the challenges of college life. The constant comparisons to other students can be discouraging and lead to feelings of inferiority. It's hard to appreciate the unique talents and strengths of others when the pressure to succeed is so high.,Moderate Stress
"The pressure to succeed can make it hard to maintain a healthy work-life balance, leading to neglect of personal relationships and self-care. It's tough to find meaning and purpose beyond academic and career success when the pressure to succeed is so high. The pressure to succeed can also perpetuate toxic competition and undermine the values of collaboration and community.",Moderate Stress
It's hard to break free from the pressure to conform to societal expectations and carve out a unique path for myself. The isolation and pressure to succeed can lead to a lack of perspective and empathy towards the experiences and struggles of others. It's tough to maintain a sense of self-worth and confidence in the face of constant comparison and scrutiny.,Moderate Stress
"The pressure to succeed can also lead to a narrow definition of success, neglecting the importance of personal growth and fulfillment. I hope to find a way to navigate these pressures and find a balance that allows me to achieve my goals while also prioritizing my mental and physical health and cultivating meaningful relationships.",High Stress
Hey can you help me out with my depression I feel like I’m useless and never should have been born! ,Moderate Stress
I find myself comparing myself to others who seem to have better lives than me. My life feels like it is moving at a slow pace.,High Stress
​I just got my first phone and i had wanted an iphone but my parents got me an android because they dont think an iphone would work for some reason? they had talked about getting me an android for a long time and when i would try and bring up how i wanted an iphone they would shut me down and not listen to my opinions. they gave me it out of the blue today and i got upset and felt cheated but when they saw that i had gotten upset they just called me a privileged brat. i feel like im just a burden to them and i cant talk to them about any of my opinions or anything that i want because they just yell or lecture me about it. how am i supposed to talk about how i feel?,Moderate Stress
"​I'm hurting so much, one of my friends killed herself today and I keep crying. Don't know how to tell my parents. ",Low Stress
​I’ve been going through a break up. It’s affected me for a couple of months and I feel like many things have been meaningless and I don’t feel like myself. I feel guilty for it ending I don’t know how to move on. ,High Stress
"My mom keeps yelling at me , when I’m just being quiet.",Moderate Stress
Today my mom took away the only people that would talk to me regularly. She never listens to me and I just want to curl up somewhere so no one will find me and die. Nothing matters anymore and I don’t have anyone who cares. ,High Stress
"​Why does it feel like every time I start to get better (depression wise), something happens? ",Moderate Stress
"​I don't want to deal with the problems in my life anymore, and I can't do it anymore, because it is unbearable. ",High Stress
"​Im 100% sure I have depression, (I won’t assume though) and I’m trying to find a way to get help without my parents my being involved.",Moderate Stress
"​I need help. Each time I get upset or stressed, I end up crying. It makes my mom mad, she yells at me. ",Low Stress
​My parents are calling me hurtful names and saying that it is my fault for the hospital bills because I tried to kill myself. I'm just tired of it. ,High Stress
​I really am sad these days. I want to run away from my family. My mom has recently changed. She is very mad at me for my grade results. My dad also is angry at me. I feel very hurt. I just need some help.,Moderate Stress
"​I'm not sure what to do. I have enough credits to graduate this year but I'm only 16. I haven't told my parents yet, I don't know if a lot of 16 year olds start college. I have to let my school counselor know. ",Moderate Stress
"​I have been getting really jealous lately and I don't know why? I don't like the feeling I get, it's ugly and I was not a person who felt this way about anybody.....I mean small ill feelings from time to time but I would fix myself and say no I am happy for this person but now I get even more jealous which I don't understand.
My brother got a new car from his company, and he showed it to me today...the first thing I said was, ""Couldn't you have gotten a car from a different color?"". My brother was humble and grateful, he replied saying, ""I'm just happy that I got this, ya know:)"". What I felt when I saw the car was that why does he get it, why don't I get one?! I was just really jealous.
Why am I so jealous and selfish? While typing all this...I can feel the jealousy, anger.....I don't like feeling this way...…how do I get rid of these ill feelings.....It's not a beautiful feeling to have and I am ashamed).
I should be grateful for all that I have....I mean there are millions of people who don't have what I have so why am I so negative, why am I jealous and selfish and why am I not happy with what I have? ",Moderate Stress
"​My best friend is moving away soon and I don't know what to do. I'm so sad about it and i'm going to miss her so much but I don't want to talk about it with her and make her even more sad about everything. I'm in 8th grade and we were planning on doing everything together but now she's leaving me. We were going to take all of the same classes, graduate together, go to college together, and live together. Now she's moving away and she doesn't even have a phone so we won't be able to keep in touch. What should I do? ",High Stress
"​I feel stressed, I may not pass this grade and i feel like if I don't I will try self harm and other things. I feel like I need to be punished for this and self harm is the only way I can solve that.",Moderate Stress
"​I can't feel anything, I say I'm gonna be alright but then when I have a bad day or am being pressured i want to die, I try not to show it, but then for about 6 hours I feel nothing I say I want to run away but I always rethink, I just want help.",High Stress
"Spending time with loved ones is always a great stress reliever. I had a wonderful dinner with my family, laughing and enjoying each other's company.",Moderate Stress
"Due to Covid-19 I've lost over 21 relatives, one of them being a cousin who was like a sister to me..I was wondering if you could help me out since I am very scared of being alone, I have gotten depression..and anxiety, three times already even when I have been trying to not be sad, even with the help of my friends and family..may you help me out please.",Low Stress
Is there anything I can do to help with self harm urges? I have been struggling with depression and anxiety for about a year now and I started SH a few months ago and I’m trying to quit but I have been having a really hard time. My depression has made it almost impossible to do anything and my cuts hurt really bad all the time and it feels like I’m dying but no one in my life knows how to help me so they’ve ignored it. ,High Stress
​I’ve been super stressed lately and I don’t know what to do. I just recently told my mom about wanting to hurt myself and how much I hate myself. Although I haven’t told her about wanting to killing my self. How do I tell her? What can I do to help myself?,Moderate Stress
"I have been feeling down, my parents told me and my older sister that after school is done we are going to move to another state. I'm going to lose all my friends. ",Moderate Stress
​I need help with when I am sad so I can tell someone and not be shy about it and speak up. ,Moderate Stress
"​I don't mean to be upset, I found out one of my grandpa's has dementia and he's going to forget me and everyone else. ",High Stress
"​My friend touches me in ways that make really uncomfortable, and whenever i tell her im dating someone she gets even touchier and i really dont like it. ",Moderate Stress
​I can't stop getting mad over little things. Of course people get mad but I'm getting mad over people telling me no. I dont wanna be mad all the time I'm usually a really fun and outgoing person but now I just can't control how I act or what I say. Please help. ,High Stress
"​School has also been really stressful for me, and I keep getting frustrated over bad grades. I don't know what to do anymore. ",Moderate Stress
​How do you ask a girl that you like out? ,Low Stress
"​Everyone says my life is perfect, so why do I feel so empty, worthless, and unmotivated? ",High Stress
​I do self harm and I need someone to talk to. ,Moderate Stress
"​I try to keep myself together at school, and sometimes, I feel as soon as i get home, It all goes down the drain. I do not get abused, but sometimes I get yelled at for things that i cannot control, and for the rest of the day, I just don't feel like i can function very well. ",High Stress
​I was recently sexually assaulted and I feel less of a person than I was. I feel really lost and I don't know how to carry myself or even portray myself. I am so broken and feel shattered.  ,Moderate Stress
"​I need help. I feel as though I'm holding my breath, waiting for something bad to happen. My dad has been continuously taking his anger and stress out on my family and myself. I don't know what to do. ",High Stress
